字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
乂	X	Xyi	基本区			
	X		私用区		㐅	
支	Xc		基本区			
	Xji		私用区		ㅌ	
	Xji		私用区		ㅌ	
𠀉	Xji		扩展B区		ㅌ	
	Xji		私用区		ㅌ	
	Xji		私用区		ㅌ	
ㅌ	Xji		谚文兼容字母			
彐	Xji		基本区			
	Xji		私用区		ㅌ	
	Xji		私用区		ㅌ	
⺕	Xji		部首补充			
	Xji		私用区		彐	
	Xji		私用区		ㅌ	
釆	Xm		基本区			
攵	Xp		基本区			
攴	Xp	Xpu	基本区			
	Xv		私用区		肀	
	Xv		私用区		肀	
𦘒	Xv		扩展B区			
	Xv		私用区		𦘒	
	Xv		私用区		𦘒	
	Xv		私用区		肀	
肀	Xv		基本区			
聿	Xv		基本区			
⺽	Xx	Xxvv	部首补充			
⽘	Xx	Xxvv	康熙部首	爻		
	Xx	Xxvv	私用区		⺽	
爻	Xx	Xxv	基本区			
𦥑	Xx	Xxvv	扩展B区			
〷	Xx	Xxvv		⿰乂乂	
ス	Xy		日文片假名			
	Xy		私用区		又	
又	Xy		基本区			
ㄡ	Xy		注音符号			
𤓰	Xz		扩展B区		爪	
	Xz		私用区		爫	
爪	Xz	Xzv	基本区			
⺥	Xz		部首补充			
爫	Xz		基本区			
	Y		私用区		彡	
	Y		私用区		彡	
彡	Y		基本区			
〃	Y		标点符号			
⼳	Ya		康熙部首	幺		
幺	Ya	Yaov	基本区			
⻑	Yc		部首补充			
长	Yc		基本区			
⻒	Yc		部首补充			
镸	Yc	Ycv	基本区			
長	Yc		基本区			
𨱘	Yc		扩展B区		長	
𨱗	Yc		扩展B区		長	
	Yc		私用区		長	
也	Ye		基本区			
革	Yge		基本区			
衣	Yi		兼容区		衣	
⾐	Yi		康熙部首	衣		
衤	Yi	Yiv	基本区			
衣	Yi		基本区			
	Yi		私用区		𧘇	
𧘇	Yi		扩展B区			
	Yi		私用区		𧘇	
	Yi		私用区		𧘇	
	Yi		私用区		𧘇	
巾	Yj	Yjv	基本区			
	Yj		私用区		巾	
麻	Ym	Yma	基本区			
麻	Ym		兼容区		麻	
⿇	Ym		康熙部首			
糸	Ys	Ysv	基本区			
	Ys		私用区		糸	
	Ys		私用区		纟	
糹	Ys		基本区			
⽷	Ys		康熙部首	糸		
纟	Ys		基本区			
	Yv		私用区		㡀	
㡀	Yv		扩展A区			
	Yv		私用区		㡀	
韦	Yw		基本区			
韋	Yw		基本区			
乡	Yx	Yxv	基本区			
⺄	Z		部首补充			
の	Z		日文平假名			
く	Z		日文平假名			
㇆	Z		汉字笔画			
	Z		私用区		㇆	
乁	Z		基本区			
コ	Z		日文片假名			
乚	Z		基本区			
ㄑ	Z		注音符号			
乛	Z		基本区			
	Z		私用区		乛	
	Z		私用区		コ	
⺃	Z		部首补充			
	Z		私用区		ㄣ	
㇌	Z		汉字笔画			
㇢	Z		汉字笔画			
㇞	Z		汉字笔画		ㄣ	
㇁	Z		汉字笔画			
㇂	Z		汉字笔画			
㇃	Z		汉字笔画			
㇄	Z		汉字笔画			
㇅	Z		汉字笔画			
㇛	Z		汉字笔画		ㄑ	
㇈	Z		汉字笔画			
㇙	Z		汉字笔画			
㇉	Z		汉字笔画			
㇊	Z		汉字笔画			
㇗	Z		汉字笔画		㇄	
㇎	Z		汉字笔画			
ㄥ	Z		注音符号			
ㄣ	Z		注音符号			
ㄋ	Z		注音符号			
ヿ	Z		日文片假名			
ㄅ	Z		注音符号			
ㄟ	Z		注音符号			
㇋	Z		汉字笔画			
レ	Z		日文片假名			
𠃍	Z		扩展B区			
フ	Z		日文片假名			
㇍	Z		汉字笔画			
